歌曲id,歌曲频率,歌曲名字,歌手id,歌曲歌词
1336856449,82.0,告白,12002248,作词冥凰作曲蛛蛛空的蝉壳悄悄摇落檐下垂铃听风吹过为何迟到了海边的焰火今晚的我稍许笨拙粗心丢了夏的线索可你只是笑着眼角处却有流星闪烁好想去捕捉最灿烂的那颗因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼偷偷吻了我耳朵空的蝉壳悄悄摇落檐下垂铃听风吹过薰衣草开满远处的山坡浪漫不用太多承诺只要能扑你怀里躲连指尖的触摸都当作最甜蜜的糖果相信你懂我爱撒娇的寂寞因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼偷偷因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼轻声说你爱我蝉鸣消去的时候想和你一起数着满天星座安静地被星光包裹蝉鸣消去的时候想和你一起猜着浪花纹络有最幸福的轮廓制作人编曲吉他于昊监制蛛蛛企划小粉统筹袁晓童黄鲲弦乐编写胡静成弦乐演奏国际首席爱乐乐团录音室和声编写演唱鱼椒盐人声编辑于昊混音母带赵靖封面设计武中奇本歌曲来自网易音乐人亿现金激励千亿流量扶持合作
1399112638,3.0,心似烟火,12077204,作词阿藤芳史作曲阿藤芳史中文填词孟大原属词曲版权公司本作品经过原词曲作者以及版权公司授权我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身我在原地等你也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容模糊的世界虚幻的情节憧憬熄灭雨下整夜我也不能凝聚星辰多一些但风凛冽握紧你的手不怕夜更迭在悲伤的时候在痛苦的时候坦率像沙漠里的海市蜃楼我看着你背影想开口那勇气却和时间偷偷溜走思念知难眠时间不知深浅想做你锦上添花一场盛宴是唯一心愿可睁眼现实和梦啊原来都在一瞬间我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身你在原地等我也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容世上的人无论任何都有孤单的时刻充满胆怯面对着告别仍慢慢前进着辗转着唱首歌变成了坚定长河仍然期待着明天有新的喜乐你微笑的瞬间心绪像断了弦拥抱是荒原中的昙花一现如果心下雪沦陷流完泪看光划过夜冬天变春天每天都在改变我们正渺小模糊开始遥远就算看不见向前未来也能够拥有好晴天我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身你在原地等我也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容自己走着就是独特一步一步也许苦涩放掉伪装别舍不得生活变温热有人默默一直陪着装模作样就会忘了四周其实变得干涸想要找的多么坎坷再去放开怎会舍得松开会痛彻毕竟也深爱着当想回头的时候看到了来的入口往回走模糊的世界虚幻的情节憧憬熄灭雨下整夜我也不能凝聚星辰多一些但风凛冽握紧你的手不怕夜更迭制作人姚政闫实企划谢宇航李喆渊裘小静监制谭微编曲闫实录顶技混音鲍锐录顶技网易云音乐特别企划听海风本歌曲来自网易音乐人亿现金激励千亿流量扶持合作
444267766,14.0,尽头,12023202,作词朱鸽作曲朱鸽演唱赵方婧编曲于瑾混音出品千和世纪音阙诗听成员作品觥筹交错时光如梭迷失自我享受折磨这是你要的物质生活一身污浊自得其乐谁的命运谁又能把握这是种孤独没有结果精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换作是我又是何得的变作无趣的枷锁肉体诚实的反驳不合时宜的消散太快的热度假装不食烟火不由分说的我换个身份变作有趣的恶魔踏碎镜头里的尽头觥筹交错时光如梭迷失自我享受折磨这是你要的物质生活一身污浊自得其乐谁的命运谁又能把握这是种孤独没有结果精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换做是我又是何得的变作无趣的枷锁精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换作是我又是何得的变作无趣的枷锁肉体诚实的反驳不合时宜的消散太快的热度假装不食烟火不由分说的我换个身份变作有趣的恶魔
1460682363,5.0,爱，存在,35136304,作词吴易纬作曲蔡明仁编曲王大夫我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开雨季总会忘了离开打落蔷薇每次盛开我们激动争吵相拥相爱想念每一次落单你的温柔让心跳崇拜我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在我明白我期待爱存在如果爱是场最轰烈的冒险终点是暖手的口袋星星孤单单坠落在那片海是你打捞起我们把每滴坏的眼泪擦干我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在就算能删除记忆就算能复制情感谁都无法控制爱一旦决定爱你我不管我不换你就是任谁都无法替代我的最爱只在你身上存在只有你在极光才有力量变得更绚烂只有你能幸福我回忆到未来你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在制作人郑翰文沈炳监制桑玉泓混音工程师欧姆母带工程师全相彦艺人统筹黄志楠封面设计何晓婷索雅音乐版权代理公司北京有限公司环球音乐版权管理集团本歌曲来自云上工作室亿现金激励千亿流量扶持业务联系
36587407,146.0,我们不该这样的,166016,作词浅紫作曲都智文编曲都智文对不起我有些累了我问我们都怎么了再不像棋逢对手般哪怕爱着恨着或酸着突然有了很多心得但却痛到不能选择好多事我们都错了我们不该这样的放手不爱了我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格也许真的是太爱了愤怒也是因为忐忑每当谁怪谁太苛刻我们却又不懂得自责好几次也都想算了可心还会狠狠地疼着想体谅你却更难过我们不该这样的放手不爱了我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格我们怎么我们怎么我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格我浪费了更幸福的资格
1358848433,82.0,追,12077204,作词陈壹千作曲陈壹千编曲又经过那个街口那条路依然很陡想起我们第一次彼此温热的手也许时间在逗留才会让我无意间看透一切只是梦游把所有我喜欢的都填上有你的颜色为了你捕捉了整个银河把所有你在意的你讨厌的都学会了可我还是那个渺小的我变成太阳照亮你的我我愿意一直这样变成你爱的模样像影子离不开光从黑夜追随到天亮你的方向就是我飞跃的地方无条件在你身旁微弱的光再微弱也能照亮卑微的我只要你回头就能看见我在身后把所有我喜欢的都填上有你的颜色为了你捕捉了整个银河把所有你在意的你讨厌的都学会了可我还是那个渺小的我我愿意一直这样变成你爱的模样像影子离不开光从黑夜追随到天亮你的方向就是我飞跃的地方无条件在你身旁我会一直这样尽管眼泪会流淌曾经我也会想象那和你触碰的模样你的方向我为你飞跃的地方无条件在你身旁我愿一直这样爱着你混音陈壹千母带陈壹千和声陈壹千录音陈壹千制作陈壹千
176053,63.0,洋葱,6066,作词阿信五月天作曲阿信五月天编曲五月天周恒毅如果你眼神能够为我片刻的降临如果你能听到心碎的声音沉默的守护着你沉默的等奇迹沉默的让自己像是空气大家都吃着聊着笑着今晚多开心最角落里的我笑得多合群盘底的洋葱像我永远是调味品偷偷的看着你偷偷的隐藏着自己如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意听你说你和你的他们暧昧的空气我和我的绝望装得很风趣我就像一颗洋葱永远是配角戏多希望能与你有一秒专属的剧情如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意你会鼻酸你会流泪只要你能听到我看到我的全心全意制作人周佳佑周恒毅协力制作李汪哲吉他怪兽五月天李兆雄强辩和声编写周佳佑和声周佳佑录音师李心鼎毛淙文林宗磊录音室强力录音室玩音乐工作室混音师王俊杰小混音录音室白金录音室相信音乐国际股份有限公司
1421256202,7.0,谪仙,31727575,作词王莹作曲王中易编曲刘哲宇仙歌音玉笛灵酒盏玉露清剑舞轻潇洒过白袍影新殿又细雕流金声声箜篌鸣一笔浓墨留诗狂情玉袍长剑堪风流山川不念旧赋诗为狂也无有愁称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧玉袍长剑堪风流山川不念旧赋诗为狂也无有愁称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧制作人王中易吉他陈柏彤混音张鸣利和声涵木之策划李亚男出品伊格赛听嗨库文化
1331819951,81.0,像鱼,14312549,作词周有才作曲周有才这是一首简单的歌没有什么独特试着代入我的心事它那么幼稚像个顽皮的孩子多么可笑的心事只剩我还在坚持谁能看透我的眼睛让我能够不再失明我要记住你的样子像鱼记住水的拥抱像云在天空中停靠夜晚的来到也不会忘了阳光的温暖我要忘了你的样子像鱼忘了海的味道放下所有梦和烦恼却放不下回忆的乞讨多么可笑的心事只剩我还在坚持谁能看透我的眼睛让我能够不再失明记住你的样子像鱼记住水的拥抱像云在天空中停靠夜晚的来到也不会忘了阳光的温暖我要忘了你的样子像鱼忘了海的味道放下所有梦和烦恼却放不下回忆的乞讨只剩自己就好
25639007,670.0,爱的回归线,7342,爱像镜子里自己的脸当越靠近越看不完全本以为是苦是甜心甘情愿无悔无怨当风景看一遍心在离别前荡起秋千泪只能转身后说抱歉初见走到了再见回到原点曙光重现爱凝结了时间在爱的回归线又期待会相见天会晴心会暖阳光在手指间童话剧情上演在某天再一次遇见我们的脸一如从前没变心在离别前荡起秋千泪只能转身后说抱歉初见走到了再见回到原点曙光重现爱凝结了时间在爱的回归线有期待会相见天会晴心会暖阳光在手指间童话剧情上演在某天再一次遇见我们的脸一如从前没变有时放开一点对爱也是种成全心是你的就不会走远每一段爱情都危险每一对恋人都勇敢下一个瞬间是下一个永远在爱的回归线有期待终会又相见天会晴心会暖阳光在手指间那落单的誓言有牵挂就不会飞远这一瞬间抵过沧海桑田
1363205817,207.0,你走以后1.0,12904290,作词王恩信二胖作曲王恩信二胖原曲俞胜恩混音王恩信在每个失眠夜晚都会不由自主想起你我还想再见你一面可以再次抱你在怀里和我的每段回忆都在心里怎么忘记最难过的时候你都在身边劝我不要放弃现在只有一个人躺在空荡的房间里努力克制自己的身体尽量不去想起你临走之前告诉我别只会活在过去像个男人一样清楚自己要到达的目的地我记得你走那天下了一整天的雨回到家中麻木清洗被雨淋湿的身体无能为力的感情像匕首插进在心里最后带上耳机播放曾为你写过的歌曲你过得还好吗我总想这样一系列的问题点上一根烟和你有关的话题尽量不再提及从此独自一个人抗拒和你周围人再联系漫无目的用酒精麻痹自己假装忘记二胖如果季节更替树叶落地银色满际没能走回原地我再做个梦给你梦见我们相遇没有话题满眼笑意真的再见到你再次拥抱你在怀里王恩信不知道从什么时候开始我们之间存在各种问题不再打电话一起出门牵手你都在抗拒从每天空闲都在聊天到现在的三言两语从无话不谈到现在根本不知道从何说起我们都变得越来越暴躁开始不停的争吵寻找各种各样的借口见面的次数越来越少从深夜送你回家到不停看这手表变成现在的样子其实很早以前就有预兆我总是想会不会开口让这段关系停止是否我们的感情也会成为生命中的历史如果有可能多想回到最初重新开始让时间永远停留在最好的那段时光静止好吧现在的我已经开始习惯没有你的生活哪怕偶尔再次想起只当那段感情经过不再打听你的消息都是朋友嘴里听说就算听到你有新的开始心里难免难过二胖如果季节更替树叶落地银色满际没能走回原地我再做个梦给你梦见我们相遇没有话题满眼笑意真的再见到你再次拥抱你在怀里王恩信直到现在都还保留着你留下的习惯每次和你一起出门花费从来都不计算送你所有贵的礼物只要是你喜欢不想让我们之间存在任何遗憾你送我所有的东西我都放在了柜子下面包括过生日那年你亲手送我的那条项链无数次睡醒脑海都是你离开的画面既然都过去了只能在心里对你说声再见二胖如果季节更替树叶落地银色满际没能走回原地我再做个梦给你梦见我们相遇没有话题满眼笑意真的再见到你再次拥抱你在怀里
165376,48.0,因为了解,5538,作词汪苏泷作曲汪苏泷编曲汪苏泷欠你的欠你的欠你的欠你的欠你的欠你的蝴蝶去年欠你的蝴蝶跟夕阳落地平线台词你说了三遍我却假装没听见你的温柔被搁浅埋怨我的不体贴你说还有誓言没兑现怎么割切爱如果变成了依赖如果只剩下习惯对两个人都是伤害只是爱需要人精心灌溉需要共同的期待我要怎么才能让你明白我知道你对我的爱心疼你为我等待选择离开是我一个人的悲哀我因为了解才分开甜蜜不能够倒带怎么重来谢谢你的眼泪成全我的耍赖爱如果变成了依赖如果只剩下习惯对两个人都是伤害只是爱需要人精心灌溉需要共同的期待我要怎么才能让你明白我知道你对我的爱心疼你为我等待选择离开是我一个人的悲哀我因为了解才分开甜蜜不能够倒带怎么重来谢谢你的眼泪成全我的耍赖我知道你对我的爱心疼你为我等待选择离开是我一个人的悲哀我因为了解才分开甜蜜不能够倒带怎么重来是我辜负了你的存在
1370047789,4.0,我走后,30616479,作词小咪作曲小咪编曲如果离开以后得到的会是什么是难过是孤独还是接着下一个放不下是个借口我强忍着痛爱有始有终我不明白牵着的手怎么牵着牵着就放了也许爱让此刻变成灰色我们还是一如既往的冷漠感受着仅存的快乐回想我们走过的那些曲折只有我们两个别人没法懂得你说你累了能不能放过我我走了你别再难过心里有话都不想再说记得以后你要快乐这世界没那么多因果我走后你别再想我尽管有太多的不舍这是你要的自由我还给你了我走后总是一个人在房间里面感受无聊抱怨着卑微的生活独自走在街上祈祷曾经全心全意对你却没有丝毫感动也许我走后才能给你自由的感受曾经有那一刻是真的想把你娶回家承受着社会的压力疲惫不堪倒着时差想过如果有一天你还能够回心转意那我也放下所有事情跟你享受一辈子甜蜜我走了你别再难过心里有话都不想再说记得以后你要快乐这世界没那么多因果我走后你别再想我尽管有太多的不舍这是你要的自由我还给你了我们度过这幸福时刻拥抱也没了也变得忐忑内心不需要抉择我们只是见过没了我怎么了我们竟然只是过客从陌生到熟悉然后走到分离放不下的原因是因为你混音策划张宇恒企宣帅杰监制尹鸿伟出品天悦华音
493735012,21.0,无人之岛,9255,作词申名利作曲小编曲王壹缩混殇小谨监制三千制作人小朱鸽吉他陈超配唱制作人朱鸽和声编写小和声任然录音室混音室黑色的背后是黎明以为来日方长所以别把梦吵醒时间它继续飞行下一站机场门外拥抱你的背影蓝色的背后是纯净低下头俯瞰陆地上想念的眼睛生命中有些事情从没有原因说明一刹那的寂静如果云层是天空的一封信能不能再听一听听你的声音就算是探秘是贪玩而已跟着潘彼得去无人岛旅行我不会怪你的天空一望无际是海洋的倒影蓝色一望无际我的你在哪里假如迷路了一定记得把思念装进漂流瓶记得快寄给我别让人担心蓝色的背后是纯净云淡风轻低下头俯瞰陆地上想念的眼睛生命中有些事情不能透明从没有原因说明一刹那的寂静如果云层是天空的一封信能不能再听一听听你的声音就算是探秘是贪玩而已跟着潘彼得去无人岛旅行我不会怪你的天空一望无际是海洋的倒影蓝色一望无际我的你在哪里假如迷路了一定记得把思念装进漂流瓶记得快寄给我别让人担心如果云层是天空的一封信能不能再听一听听你的声音就算是探秘跟着潘彼得去无人岛旅行我不会怪你的天空一望无际是海洋的倒影蓝色一望无际我的你在哪里假如迷路了一定记得把思念装进漂流瓶记得快寄给我别让人担心
1297802566,15.0,盗墓笔记·十年人间,12359437,作词梨衿作曲純白编曲純白吉他二胡陆二胡调教坐标和声黄诗扶后期曾经光是谁燃烛照亮时间设下的迷藏光置换明暗立场肆意流淌看谁站过的地方棋局已百孔千疮看眼前最真假相假又何妨怀揣着炽烈顽心走向最宽容刑场裂过碎过都空洞地回响到最后竟庆幸于夕阳仍留在身上来不及讲故事多跌宕有最奇崛的峰峦成全过你我张狂海上清辉与圆月盛进杯光有最孤傲的雪山静听过你我诵章世人惊羡的桥段不过寻常光可寻来路艰险也可照前路坦荡光补填残陋世相无须度量看你计算的无常和你来时的彷徨看终有勇气独挡人世荒唐怀揣着炽烈顽心走向最宽容刑场裂过碎过都空洞地回响到最后竟庆幸于夕阳仍留在身上来不及讲故事多跌宕有最崎岖的峰峦成全过你我张狂海上清辉与圆月盛进杯光有最孤傲的雪山静听过你我诵章世人惊羡的桥段不过寻常有最崎崛的峰峦成全过你我张狂海上清辉与圆月盛进杯光有最残破的书简记载过光阴漫长无意拾过的片瓦历数寒凉有最孤傲的雪山静听过你我诵章世人惊羡的桥段不过寻常有最清瘦的字迹都已随记忆泛黄而我再度铺垫起下个篇章
1352002513,79.0,空山新雨后,12174521,作词假寐作曲殇小谨编曲罗洋山风轻摆尾卷下落花随流水路过擦拭曾经用你柔情换我的眼泪当爱恨都败退没谢幕的人啊井中月举杯砸碎佐一场宿醉抽签的玫瑰作熏香还能余味猜测无解答案散落满地也是种浪费我才终于明白终于明白不能被施舍的是爱取下褪漆的钗就化作尘埃喝多少暖身的酒暖不了心口待空山新雨后放一叶小舟载上无人问津的温柔摆渡寻处去忘忧抽签的玫瑰作熏香还能余味猜测无解答案算了满地也是种浪费我才终于明白终于明白不能被施舍的是爱取下褪漆的钗就化作尘埃喝多少暖身的酒暖不了心口待空山新雨后放一叶小舟载上无人问津的温柔摆渡寻处去忘忧取下褪漆的钗就化作尘埃喝多少暖身的酒暖不了心口待空山新雨后放一叶小舟载上无人问津的温柔摆渡寻处去忘忧混音李佳韵殇小谨母带处理殇小谨笛子囚牛古筝紫格和声皎月和声编写皎月文案偏生梓归制作人殇小谨监制李俊羽混音室出品音阙诗听
442314990,21.0,后继者,9255,作词朱鸽作曲葛雨晴和声任然和声编写朱鸽录音师朱鸽录音室混音师殇小谨混音室谁比较起来痊愈得比较快当你的身边开始有另一个人存在我很心安庆幸你人生的后来没那么埋汰比起我来如此的精彩谁赢或谁输看当时的状态感情的世界不用去比赛任何人投入起来都像是一个小孩不用太奇怪在流逝时光里总有个人等待好像那时我们都在当时的事都记了起来时间真的像是长了脚的妖怪跑的飞快好像后来我们都离开各自生活在喧嚣未来当时的遗憾在回忆肆虐的某些时段重新打开谁赢或谁输看当时的状态感情的世界不用去比赛任何人投入起来都像是一个小孩不用太奇怪在流逝时光里总有个人等待好像那时我们都在当时的事都记了起来时间真的像是长了脚的妖怪跑得飞快好像后来我们都离开各自生活在喧嚣未来当时的遗憾在回忆肆虐的某些时段重新打开还好有眼泪冲淡苦涩还好有微笑放任快乐那些经过的留下的后继者好像那时我们都在当时的事都记了起来时间真的像是长了脚的妖怪跑得飞快好像后来我们都离开各自生活在喧嚣未来当时的遗憾在回忆肆虐的某些时段重新打开
316686,428.0,处处吻,10204,作曲雷颂德编曲雷颂德你爱热吻却永不爱人练习为乐但是怕熟人你爱路过去索取见闻陌路人便特别有份好感你热爱别离再合再离似花瓣献技叫花粉遍地噢噢你在播弄这穿线游戏跟他结束他与她再一起你小心一吻便颠倒众生一吻便救一个人给你拯救的体温总会再捐给某人一吻便偷一个心一吻便杀一个人一寸吻感一寸金一脸崎岖的旅行让半夜情人延续吻别人让你旧情人又惠顾他人每晚大概有上亿个人在地球上落力的亲吻你那习惯散佈给众人在地球上惠泽遍及世人你热爱别离再合再离似花瓣献技叫花粉遍地噢噢你在播弄这穿线游戏跟他结束他与她再一起你小心一吻便颠倒众生一吻便救一个人给你拯救的体温总会再捐给某人一吻便偷一个心一吻便杀一个人一寸吻感一寸金一脸崎岖的旅行噢你为何未曾尽兴这塑胶的爱情跳蚤的旅程噢延展铺天盖地好本领噢这吊诡的爱情播种的旅程别了他他吻她他吻她吻他吻她延续愉快过程你我他真高兴下个他他吻她他吻她再亲你结束这旅程多得你这煞星你小心一吻便颠倒众生一吻便救一个人给你拯救的体温总会再捐给某人一吻便偷一个心一吻便杀一个人一寸吻感一寸金一脸崎岖的旅行别了他他吻她他吻她吻他吻她延续愉快过程你我他真高兴下个他他吻她他吻她吻他吻她延续愉快过程你我他真高兴十个他千个她恩爱扩展的旅程监制雷颂德
417250673,75.0,父亲写的散文诗,9941,作词董玉方作曲许飞一九八四年庄稼还没收割完女儿躺在我怀里睡得那么甜今晚的露天电影没时间去看妻子提醒我修修缝纫机的踏板明天我要去邻居家再借点钱孩子哭了一整天啊闹着要吃饼干蓝色的涤卡上衣痛往心里钻蹲在池塘边上给了自己两拳这是我父亲日记里的文字这是他的青春留下留下来的散文诗几十年后我看着泪流不止可我的父亲已经老得像一个影子一九九四年庄稼早已收割完我的老母亲去年离开了人间女儿扎着马尾辫跑进了校园可是她最近有点孤单瘦了一大圈想一想未来我老成了一堆旧纸钱那时的女儿一定会美得很惊艳有个爱她的男人要娶她回家可想到这些我却不忍看她一眼这是我父亲日记里的文字这是他的生命留下留下来的散文诗几十年后我看着泪流不止可我的父亲已经老得像一张旧报纸旧报纸那上面的故事就是一辈子
502043537,26.0,第三人称,12085562,作词作曲原唱他想知道那是谁为何总沉默寡言人群中也算抢眼抢眼的孤独难免快乐当然有一点不过寂寞更强烈难过时候不流泪流泪也不算伤悲天真以为是他的独特品味殊不知是他难以言喻的对决子母画面分割上演谍对谍而谁是谁对于第三人称的角度而言也明白其实每个人都有缺陷不自觉遮掩多少也算自然的行为快乐当然有一点不过寂寞更强烈难过时候不流泪流泪也不算伤悲天真以为是他的独特品味殊不知是他难以言喻的对决子母画面分割上演谍对谍而谁是谁对于第三人称的角度而言也明白其实每个人都有缺陷才不断的追寻更好的自己直到青春一定程度的浪费才觉得可贵他想知道那是谁海边的卡夫卡有限公司百代音乐代理北京有限公司
454035505,97.0,Asphyxia(窒息),12128251,作词逆时针向作曲逆时针向纯音乐请说出你的故事作曲逆时针向
434550534,32.0,下完这场雨 ,3058,作词后弦李叔同作曲后弦念旧的皮箱装着爱没放完的烟火我提着寂寞撑伞穿过夜色悲伤湿透了领口别说破且当作梅雨曾来过雨滴下鼓槌落伞下路退却不能衣襟还残留那句手写的珍重那年长亭你的背影亮了雨中我燃一束挽歌我在等你等下完这场雨满城涓涤净此生的别离心太入戏梦流转四季只是回忆手中焰火向谁泣如果可以别下完这场雨放慢朝夕拾与你的点滴怕来不及回眸再重温此刻如往昔伞外朦胧可是你那年我烟花为序光芒逆雨而上画下故事终句守一纸立秋的期许说好等你远去的时光列车满载我今生几多孤寂夕阳西下故人长城外顷刻间滂沱大雨浇不灭余念仍在帷幕落秋雨霖伞下人哼泣最后再重温那首与你送别的旋律我在等你等下完这场雨满城涓涤净此生的别离心太入戏梦流转四季只是回忆手中焰火向谁泣如果可以别下完这场雨放慢朝夕拾与你的点滴怕来不及回眸再重温此刻如往昔伞外朦胧可是你长亭外古道边芳草碧连天晚风拂柳笛声残夕阳送别山外山我在等你等下完这场雨满城涓涤净此生的别离怕来不及回眸再重温此刻如往昔伞外朦胧可是你通力时代北京文化有限公司
28143760,154.0,Space Oddity (Mitty Mix),31193,
1382596189,12.0,嚣张,32220939,作词李艺皓作曲李艺皓编曲常玮太多的太重的太残忍的话没纠缠是你的理由太假我觉得你大可不必说得天花乱坠是天使是魔鬼都没有绝对没想的没说的都请收起吧你扮演的角色更可悲吗放弃的就大可不必再争辩是非放下的就请你烧得干脆你的一字一句犹如刀疤划心上我的一举一动随你改变多荒唐任你肆意玩弄从没去想你是有多嚣张我的心脏脉搏为你跳动为你狂你说我真的多余不如离开流浪都怪我没治愈我的伤没想的没说的都请收起吧你扮演的角色更可悲吗放弃的就大可不必再争辩是非放下的就请你烧得干脆你的一字一句犹如刀疤划心上我的一举一动随你改变多荒唐任你肆意玩弄从没去想你是有多嚣张我的心脏脉搏为你跳动为你狂你说我真的多余不如离开流浪都怪我没治愈我的伤你的一字一句犹如刀疤划心上我的一举一动随你改变多荒唐任你肆意玩弄从没去想你是有多嚣张我的心脏脉搏为你跳动为你狂你说我真的多余不如离开流浪都怪我没治愈我的伤吉他常玮混音张鸣利和声设计和声常玮制作人常玮伍华统筹王艺园制作公司嗨库文化
